"","chungcheong","seoul"
"207","특히 겨울바다 하면은 또 동해 쪽 이제 강릉이나 속초쪽으로 가가주구 보는 것도 되게 좋아하고","특히 겨울바다 하면은 또 동해 쪽 이제 강릉이나 속초쪽으로 가가지고 보는 것도 되게 좋아하고"
"208","바다는 이제 서해보다는 남해 남해보다는 동해?","바다는 이제 서해보다는 남해 남해보다는 동해?"
"209","약간 이런 느낌이란 말이여?","약간 이런 느낌이란 말이야?"
"210","근데 남해는 약간 어떤 느낌이 드냐면 좀 해외에 있는 바닷가느낌.","근데 남해는 약간 어떤 느낌이 드냐면 좀 해외에 있는 바닷가느낌."
"211","이게 쪼끔 있단 말이여 근데","이게 조금 있단 말이야 근데"
"212","내가 예전에 이제 호주 갔을 때 해수욕장을 갔었는디 그기가 진짜 유명한 해수욕장이였는디","내가 예전에 이제 호주 갔을 때 해수욕장을 갔었는데 거기가 진짜 유명한 해수욕장이였는데"
"213","거기는 파도가 진짜 사람 키만큼 해서 쳐서 오는디","거기는 파도가 진짜 사람 키만큼 해서 쳐서 오는데"
"214","우리 나라는 그렇게 치는 데가 별로 없잖여?","우리 나라는 그렇게 치는 데가 별로 없잖아?"
"215","파도가 진짜 뭐 찔끔찔끔 친단 말이여?","파도가 진짜 뭐 찔끔찔끔 친단 말이야?"
"216","그래서 어~그런 거에 비하면 우리나라 파도가 좀 약해서 좀 그렇긴 한디","그래서 어~그런 거에 비하면 우리나라 파도가 좀 약해서 좀 그렇긴 한데"
"217","그래도 남해에는 좀 그래도 해외 느낌이 쪼끔 쪼끔 ((이렇게)) 있어 가지고","그래도 남해에는 좀 그래도 해외 느낌이 조금 조금 ((이렇게)) 있어 가지고"
"218","음~ 남해 뭐 근데 남해보다는","음~ 남해 뭐 근데 남해보다는"
"219","난 동해가 쪼끔 더 뭐라 해야 될까?","난 동해가 조금 더 뭐라 해야 될까?"
"220","이제 일본 같은 데에 가려져 있지 않아 가주구 좀 -널- 넓게 탁 트인단 말이여 바다 자체가","이제 일본 같은 데에 가려져 있지 않아 가지고 좀 -널- 넓게 탁 트인단 말이야 바다 자체가"
"221","그래서 되게 막 쫌 음~ 뭐라 해야 되지 바다가 되게 이쁘단 말이여 남해보다도 난 더 -이- 이쁘다고 생각하는디","그래서 되게 막 좀 음~ 뭐라 해야 되지 바다가 되게 이쁘단 말이야 남해보다도 난 더 -이- 이쁘다고 생각하는데"
"222","이게 확실히 강릉이나 속초 쪽에 있는 바다가 쪼끔 이쁘긴 혀 그래서","이게 확실히 강릉이나 속초 쪽에 있는 바다가 조금 이쁘긴 해 그래서"
"223","겨울에는 이제 강릉이나 속초 가 가주구 회도 먹으면서 바다보고","겨울에는 이제 강릉이나 속초 가 가지고 회도 먹으면서 바다보고"
"224","약간 이런 것도 좋아하기 때문에","약간 이런 것도 좋아하기 때문에"
"225","어~ 겨울에는 강릉이나 이런 데 가는 거 좋아하고","어~ 겨울에는 강릉이나 이런 데 가는 거 좋아하고"
"226","이제 여름에는 뭐 굳이 바다를 가야 된다면 쩌기 뭐시여","이제 여름에는 뭐 굳이 바다를 가야 된다면 저기 뭐야."
"227","쩌기 서해에서 갯벌 체험하거나","저기 서해에서 갯벌 체험하거나"
"228","아니면은 쩌기 남해 같은 데 가 가주구","아니면은 저기 남해 같은 데 가 가지고"
"229","수영하고 막 그런 것도 좋아하고","수영하고 막 그런 것도 좋아하고"
"230","음~ 근데 남해가 해수욕 하긴 되게 좋다고 생각혀.","음~ 근데 남해가 해수욕 하긴 되게 좋다고 생각해."
"231","남해가 생각보다 물 -시- 수심이 그렇게 깊지 않은 편이어서","남해가 생각보다 물 -시- 수심이 그렇게 깊지 않은 편이어서"
"232","어~ 그렇고","어~ 그렇고"
"233","서해는 이게 뭐~ 막 물 빠지고 들어가는 그런 시간이 있기 때문에","서해는 이게 뭐~ 막 물 빠지고 들어가는 그런 시간이 있기 때문에"
"234","별로 난 좋아하지 않단 말이여.","별로 난 좋아하지 않는단 말이야."
"235","그리고 물도 되게 탁하고 진흙 같은 게 많아서","그리고 물도 되게 탁하고 진흙 같은 게 많아서"
"236","내가 안 좋아하는 편이고","내가 안 좋아하는 편이고"
"237","그래서 여름에는 바다보다는 계곡을 좋아하고 겨울에는 계곡보다 바다를 좋아하는 편인 것 같여.","그래서 여름에는 바다보다는 계곡을 좋아하고 겨울에는 계곡보다 바다를 좋아하는 편인 것 같아."
"238","그래서 여름 같은 경우에는 이제 썬크림 같은 거는 필수고","그래서 여름 같은 경우에는 이제 썬크림 같은 거는 필수고"
"239","나는 모자는 좀 불편해서 안 쓰는 편이기도 하고","나는 모자는 좀 불편해서 안 쓰는 편이기도 하고"
"240","썬글라스는 내가 안 어울린다고 스스로 생각 해 가주구","썬글라스는 내가 안 어울린다고 스스로 생각 해 가지고"
"241","선크림 정도만 바르고 다니는것 같은디","선크림 정도만 바르고 다니는것 같은데"
"242","어~ 이제 해외 나가면은 되게 그~ 햇빛이 강한 데가 있단 말이여 나라 중에","어~ 이제 해외 나가면은 되게 그~ 햇빛이 강한 데가 있단 말이야 나라 중에"
"243","호주 같은 데도 고 햇빛이 되게 강하고 막 그랬단 말이여 그래서","호주 같은 데도 그 햇빛이 되게 강하고 막 그랬단 말이야 그래서"
"244","막 좀 그 뭐여.","막 좀 그 뭐야."
"245","외국 나갈 때는 선글라스도 쫌 많이 끼고 모자 같은 것도 필수로 쓰고 그랬단 말이여?","외국 나갈 때는 선글라스도 좀 많이 끼고 모자 같은 것도 필수로 쓰고 그랬단 말이야?"
"246","썬크림은 당연히 바르고","썬크림은 당연히 바르고"
"247","근데 썬크림은 진짜 바르는 것은 겨울에 발라도 난 좋다고 생각혀.","근데 썬크림은 진짜 바르는 것은 겨울에 발라도 난 좋다고 생각해."
"248","약간 피부 미백도 있고 쫌 그래도 겨울에도 어느정도의 자외선이 있잖여 그래서 자외선 차단하는 그런 그런 것도 있고 그런디","약간 피부 미백도 있고 좀 그래도 겨울에도 어느정도의 자외선이 있잖아 그래서 자외선 차단하는 그런 그런 것도 있고 그런데"
"249","선글라스는 내가 개인적인 취향이 그냥 안 맞아 가주구뭐 좀 안 쓰고 다니는 그런 것도 있는 것 같아서","선글라스는 내가 개인적인 취향이 그냥 안 맞아 가지고뭐 좀 안 쓰고 다니는 그런 것도 있는 것 같아서"
"250","그래서 좀 그렇고 어~ 그래서 여름이라 여름엔 겨울에는 뭐","그래서 좀 그렇고 어~ 그래서 여름이라 여름엔 겨울에는 뭐"
"251","겨울에도 썬크림을 바르는 거 좋아 하고 겨울에는 썬크림보다는 이제","겨울에도 썬크림을 바르는 거 좋아 하고 겨울에는 썬크림보다는 이제"
"252","그걸 많이 발라야지.","그걸 많이 발라야지."
"253","핸드크림 같은 거 많이 바르고","핸드크림 같은 거 많이 바르고"
"254","립밤같은 것도 많이 바르고 왜냐하면 겨울에는 건조하기 때문에","립밤같은 것도 많이 바르고 왜냐하면 겨울에는 건조하기 때문에"
"255","어~ 피부가 좀 많이 푸석푸석해진단 말이여.","어~ 피부가 좀 많이 푸석푸석해진단 말이야."
"256","그래서 로션도 많이 바를 발라야 지 된다고 생각하고","그래서 로션도 많이 바를 발라야 지 된다고 생각하고"
"257","그 다음에 뭐~ 어 내가","그 다음에 뭐~ 어 내가"
"258","겨울에는 이제 그 김 서는 거 있잖여 막 밖에 나갔다가 안에 들어옴 막","겨울에는 이제 그 김 서는 거 있잖아 막 밖에 나갔다가 안에 들어옴 막"
"259","((그)) 안경에 김 서러 있고 약간 그런 게 너무 싫기도 하고","((그)) 안경에 김 서러 있고 약간 그런 게 너무 싫기도 하고"
"260","근데 그렇다고 막 진짜 온도차 때문에 그런 건데 그거를","근데 그렇다고 막 진짜 온도차 때문에 그런 건데 그거를"
"261","어떻게 내가 막을 수도 없는 것 이기도 한 단 말이여 그래서","어떻게 내가 막을 수도 없는 것 이기도 한 단 말이야 그래서"
"262","그래서 그냥 요즘에는 좀 마음 놓고 그냥 이르케 하는 편이긴 한디","그래서 그냥 요즘에는 좀 마음 놓고 그냥 이렇게 하는 편이긴 한데"
"263","이게 여름에는 안 그런데 겨울에만 그래서 그게 좀","이게 여름에는 안 그런데 겨울에만 그래서 그게 좀"
"264","여름에는 좀 많이 불편하 아 겨울에는 좀 많이 불편하더라고 그래서","여름에는 좀 많이 불편하 아 겨울에는 좀 많이 불편하더라고 그래서"
"265","막 뜨거운거나 막 컵라면 같은 거 먹을 때 말이여.","막 뜨거운거나 막 컵라면 같은 거 먹을 때 말이야."
"266","겨울에 특히 이제 뜨거운 열기가 올라 오니께","겨울에 특히 이제 뜨거운 열기가 올라 오니까"
"267","안경이 되게 많이 뿌예진단 말이여.","안경이 되게 많이 뿌예진단 말이야."
"268","그래서 어~ 쫌 나는 어~겨울에는 그게 불편해 가주구 막 진짜 라면 먹을 때는 안경 벗고 먹고 막 그런단 말이여.","그래서 어~ 좀 나는 어~겨울에는 그게 불편해 가지고 막 진짜 라면 먹을 때는 안경 벗고 먹고 막 그런단 말이야."
"269","그래서 그런 거 말고는 뭐~ 여 겨울에는 딱히 불편한 건 별로 없는 것 같고","그래서 그런 거 말고는 뭐~ 여 겨울에는 딱히 불편한 건 별로 없는 것 같고"
"270","어~ 안경이 불편한 거는 겨울에만 좀 있고","어~ 안경이 불편한 거는 겨울에만 좀 있고"
"271","여름에는 솔직히 안경 불편한 거는 별로 없는 편이긴 한디","여름에는 솔직히 안경 불편한 거는 별로 없는 편이긴 한데"
"272","땀 같은 거 날 때 안경을 쓰면 되게 불편하단 말이여.","땀 같은 거 날 때 안경을 쓰면 되게 불편하단 말이야."
"273","약간 이런 거 생각하면 또 겨 여름에도 안 좋은 게 좀 있는 것 같기도 하고 막 그런단 말이여?","약간 이런 거 생각하면 또 겨 여름에도 안 좋은 게 좀 있는 것 같기도 하고 막 그런단 말이야?"
"274","((근데도)) 이 이제 그 가을 그 뭐시여","((근데도)) 이 이제 그 가을 그 뭐야."
"275","봄 같은 경우에는 미세먼지나 황사 같은 게 되게 많잖여.","봄 같은 경우에는 미세먼지나 황사 같은 게 되게 많잖아."
"276","근데 이번 년도는 이제 중국에서 공장을 많이 안 돌려서 그런지 미세먼지나","근데 이번 년도는 이제 중국에서 공장을 많이 안 돌려서 그런지 미세먼지나"
"277","이제 황사 같은 게 별로 안심했다고 생각 하는디","이제 황사 같은 게 별로 안심했다고 생각 하는데"
"278","어~ 근데 옛날에는 진짜 막 진짜 황사도 진짜 심하고 뭐 미세먼지는 요즘엔 진짜 심해진거고","어~ 근데 옛날에는 진짜 막 진짜 황사도 진짜 심하고 뭐 미세먼지는 요즘엔 진짜 심해진거고"
"279","황사 같은 경우에는 막 진짜 심했단 말이여.","황사 같은 경우에는 막 진짜 심했단 말이야."
"280","그래서 -마- 마스크는 안쓰고 댕겼지만 막","그래서 -마- 마스크는 안쓰고 다녔지만 막"
"281","걸어 댕기면 기침 기침 같은 거 나고 막 그랬었단 말이여.","걸어 다니면 기침 기침 같은 거 나고 막 그랬었단 말이야."
"282","막 진짜 황사 심한 날은 밖에 보면은","막 진짜 황사 심한 날은 밖에 보면은"
"283","막 하늘이 노랄 정도로 황사가 심했었단 말이여 옛날에","막 하늘이 노랄 정도로 황사가 심했었단 말이야 옛날에"
"284","그래 가주구","그래 가지고"
"285","어~ 진짜 그것도 골치 아팠었는디 요즘엔 코로나 땜에","어~ 진짜 그것도 골치 아팠었는데 요즘엔 코로나 땜에"
"286","황사나 미세먼지가 좀 덜 심한 거 같기도 하고","황사나 미세먼지가 좀 덜 심한 거 같기도 하고"
"287","음~ 그 다음에 워낙 마스크를 그냥 ((쓰고다니다))다 보니까 황사나 미세먼지 같은 거에 좀","음~ 그 다음에 워낙 마스크를 그냥 ((쓰고다니다))다 보니까 황사나 미세먼지 같은 거에 좀"
"288","피해를 못 입는다 약간 이런 생각도 좀 드는 것 같애서","피해를 못 입는다 약간 이런 생각도 좀 드는 것 같애서"
"289","어~봄에 황사 오는 게 진짜 싫었지.","어~봄에 황사 오는 게 진짜 싫었지."
"290","그래도 중국에((서)) 황사나 미세먼지가 좀 많이 오는 편이잖여.","그래도 중국에((서)) 황사나 미세먼지가 좀 많이 오는 편이잖아."
"291","((배출은)) 안했다지만","((배출은)) 안했다지만"
"292","그~ 바람에 위에서 좀 많이 오는 편인디","그~ 바람에 위에서 좀 많이 오는 편인데"
"293","어~ 그래서 나는 쪼꼼 봄 같은 경우는 그런 게 싫고 그런데 또 가을에는 황사가 조금 덜한 편이어서","어~ 그래서 나는 조금 봄 같은 경우는 그런 게 싫고 그런데 또 가을에는 황사가 조금 덜한 편이어서"
"294","그래서 내가 가을을 좋아하는 것 같여.","그래서 내가 가을을 좋아하는 것 같아."
"295","여름과 겨울에는 좀 장단점이 좀 막 확실하고","여름과 겨울에는 좀 장단점이 좀 막 확실하고"
"296","봄에는 인제 벚꽃이 피기는 하지만 황사나 이 미세먼지가 쪼끔 많이 난단 말이여.","봄에는 인제 벚꽃이 피기는 하지만 황사나 이 미세먼지가 조금 많이 난단 말이야."
"297","((그래서)) 그런게 싫은디 -겨우- 가을에는 생각보다 그런 일이 별로 없단 말이여 그래서","((그래서)) 그런게 싫은데 -겨우- 가을에는 생각보다 그런 일이 별로 없단 말이야 그래서"
"298","뭐~ 날씨가 안 좋거나 그런게 없어서 가을을 쫌 좋아하는 편이고","뭐~ 날씨가 안 좋거나 그런게 없어서 가을을 좀 좋아하는 편이고"
"299","그리고 내가 또 시월 생이여서 그런가","그리고 내가 또 시월 생이여서 그런가"
