"","jeju","seoul"
"340","큰일 날 뻔햇져이","큰일 날 뻔했다"
"341","게난","그러니가"
"342","그래가지고 나 다리아팡 죽는 줄 알았수다 그때","그래가지고 나 다리아파서 죽는 줄 알았수다 그때"
"343","쿠션감각이 없어져부난 막 뜯어져가지고","쿠션감각이 없어져부난 막 뜯어져가지고"
"344","아무튼 겅행 사라오름도 올해 어쨌든 겅해도 한번 갔다왔고","아무튼 그래서 사라오름도 올해 어쨌든 그래도 한번 갔다왔고"
"345","많이갔다 와신게","많이갔다 왔네"
"346","많이 간 건 아니고예 그냥 그 대록산도 그때 명절날 명절 전날의 그","많이 간 건 아니고요 그냥 그 대록산도 그때 명절날 명절 전날의 그"
"347","장만하고 겅해그네 우리 며느리 며느리들끼리 거기예 올라갔다 온거라마씨","장만하고 그래서 우리 며느리 며느리들끼리 거기요 올라갔다 온거에요"
"348","그시간에 잠깐 저녁 차리기 직전 시간에","그시간에 잠깐 저녁 차리기 직전 시간에"
"349","많이 알려지지 않앵 사람들 어시켜이","많이 알려지지 않아서 사람들 없겠다"
"350","겅해신디 그날도 그 동네에 거기도 명절에 사람들이 오난","그랬는데 그날도 그 동네에 거기도 명절에 사람들이 오니까"
"351","외지 사람들 오난 이제 자기네들이 뭐 할 거 없으니까 응","외지 사람들 오니까 이제 자기네들이 뭐 할 거 없으니까 응"
"352","이번 추석 때도 무사 오지 말랜들 얘기 했잖아예","이번 추석 때도 왜 오지 말라고들 얘기 했잖아요"
"353","그 코로나 때문에 겅해신디도 겅해도 가족들 얼굴도 보잰 아맹해도예","그 코로나 때문에 그랬는데도 그래도 가족들 얼굴도 보려고 아무래도요"
"354","그 사람들이 올라간 거구나","그 사람들이 올라간 거구나"
"355","그렇죠","그렇죠"
"356","가족들이 얘기하니까","가족들이 얘기하니까"
"357","자꾸 댕겨야","자꾸 다녀야"
"358","맞아","맞아"
"359","댕겨가야","다녀가야"
"360","응","응"
"361","가지는디","가지는데"
"362","한번 가면 재미나긴해","한번 가면 재미나긴해"
"363","아니 나가 이주를예 계속 다니다 보니깐 이제 주말에예","아니 나가 이주를요 계속 다니다 보니깐 이제 주말에요"
"364","나 생각으론","나 생각으론"
"365","토요일마다 가시면 좋크라","토요일마다 갔으면 좋겠어"
"366","어제는 (()) 못가고 이번주 못간거","어제는 (()) 못가고 이번주 못간거"
"367","오늘은 또 아이 옷사주기로 나가 다짐해부난 그거 하잰하난 (())","오늘은 또 아이 옷사주기로 나가 다짐해버리니가 그거 하려고 하니까 (())"
"368","아무튼 그런데 정말","아무튼 그런데 정말"
"369","걸을 시간이 별로 없거든예","걸을 시간이 별로 없거든요"
"370","맨날 맨날 정말 밤에 부지런한 사람들은 우리 여기 동네에","맨날 맨날 정말 밤에 부지런한 사람들은 우리 여기 동네에"
"371","밑에들 잘도 하영 걷드라고마씨","밑에들 잘도 많이 걷더라고요"
"372","하영 걷는데 나는 겅","많이 걷는데 나는 그렇게"
"373","못 하고 그냥 저 주말에만이라도 몇 시간예","못 하고 그냥 저 주말에만이라도 몇 시간예"
"374","겉고 겅 힐링하고 그리고 숲속이랑 여기랑은 또 틀리잖아마씨 아무래도","겉고 그렇게 힐링하고 그리고 숲속이랑 여기랑은 또 틀리잖아요 아무래도"
"375","(())","(())"
"376","그걸로마씨 이밤에 이 어두근디 다치면 어떵하잰","그걸로요 이밤에 이 어두운데 다치면 어떻게할려고"
"377","밤이랑 하지맙서","밤이랑 하지마세요"
"378","그냥 좀 걸어 줘야 되는데","그냥 좀 걸어 줘야 되는데"
"379","너무 꼼꼼행 안돼여","너무 깜깜해서 안돼"
"380","음 아니 어두글  때는 하지 말앙예","음 아니 어두울 때는 하지 말고요"
"381","볽을때 그때랑 혼자서 영 한바퀴","밝을때 그때는 혼자서 이렇게 한바퀴"
"382","돌고와마씨","돌고와요"
"383","집에서 걸어야될거냐","집에서 걸어야될거냐"
"384","나도 걸여야 너무 많이 먹엉","나도 걸여야 너무 많이 먹어서"
"385","뭐야 해장국 (()) 설렁탕 음","뭐야 해장국 (()) 설렁탕 음"
"386","너무 배고파 막 많이 먹견딘데","너무 배고파 막 많이 먹견딘데"
"387","이제","이제"
"388","(())","(())"
"389","예전 같지 않애마씨","예전 같지 않애마씨"
"390","아 예전같지 않아요","아 예전같지 않아요"
"391","너 내 식욕을 알아난?","너 내 식욕을 알았엇어?"
"392","경허고 그 건강검진 할 때는 해야주마씨","그리고 그 건강검진 할 때는 해야지요"
"393","난 꼭 받아마씨예","난 꼭 받아요"
"394","지금","지금"
"395","그러니깐 그 전번에 그 이년 이년이과 이 년 만의 우리 건강검진을 하잖아요","그러니깐 그 전번에 그 이년 이년인가요 이 년 만의 우리 건강검진을 하잖아요"
"396","그때마다 받아마씨 나는","그때마다 받아요 나는"
"397","(())","(())"
"398","수면내시경 하면 인제 잠깐 잤당 일어나난 누가 같이 보호자 이서야된댄 하고 하니까","수면내시경 하면 인제 잠깐 자다가 일어나니까 누가 같이 보호자 있어야 된다 하고 하니까"
"399","맨날 수면 내시경 안행 그냥 혼자 쌩으로 했거든마씨 한 번은 그 조형","맨날 수면 내시경 안행 그냥 혼자 쌩으로 했거든마씨 한 번은 그 조형"
"400","제를 먹어가지고 바로 하는데 이","제를 먹어가지고 바로 하는데 이"
"401","탄산 같은 그 성분이 있나봐예 겡 그거를 마시면 이","탄산 같은 그 성분이 있나봐요 그래서 그거를 마시면 이"
"402","트림을 하지 말아야 된다는 하는디 겅 의사가 골아신디 트림을 못 참겠더라고마씨","트림을 하지 말아야 된다는 하는데 그렇게 의사가 말했는데 트림을 못 참겠더라고요"
"403","그것 트림 해버리면 그 촬영을 또 못해마씨","그것 트림 해버리면 그 촬영을 또 못해요"
"404","겅하니까 트림해부난 그 약물 녹히는 약을 또 줘예","그러니까 트림해버려서 그 약물 녹히는 약을 또 줘요"
"405","갱 그걸 먹엉 일주일이 지나야 그 검사를 또 받을 수 이서마씨","그래서 그걸 먹엉 일주일이 지나야 그 검사를 또 받을 수 있어요"
"406","아예 생으로 하는게 낫겟따","아예 생으로 하는게 낫겟따"
"407","그니까 응","그니까 응"
"408","근데 생으로예 정말 가면 갈수록 이게 그거 하면예","근데 생으로예 정말 가면 갈수록 이게 그거 하면예"
"409","옛날만큼 막 그 숨도 참지 못해 지고 하니까","옛날만큼 막 그 숨도 참지 못해 지고 하니까"
"410","아프잖아","아프잖아"
"411","여기 목이","여기 목이"
"412","아 침 질질 흘리멍 하잖아마씨 그거","아 침 질질 흘림녀서 하잖아요 그거"
"413","괴롭지","괴롭지"
"414","아 침 질질만 흘리고의 호흡만","아 침 질질만 흘리고의 호흡만"
"415","솔솔형 쉬면 숨만 써주시면 괜찮은데","솔솔형 쉬면 숨만 써주시면 괜찮은데"
"416","그 시간이호흡 시간이 길지가 안해부난","그 시간이호흡 시간이 길지가 안해부난"
"417","이제 목에 그거 막 조여지난 -아- 아프고","이제 목에 그거 막 조여지난 -아- 아프고"
"418","(()) 올라오잖아","(()) 올라오잖아"
"419","그 구역질 나오고 막 겅해","그 구역질 나오고 막 그래"
"420","좀 한번 하고 나면 그것도의 눈앞에 별이 반짝반짝 해마씨","좀 한번 하고 나면 그것도의 눈앞에 별이 반짝반짝 해요"
"421","그런데 어떵해 그거라도 해야죠","그런데 어떻게 그거라도 해야죠"
"422","안할수 없고","안할수 없고"
"423","그냥 그냥","그냥 그냥"
"424","하고 나면은","하고 나면은"
"425","아휴 다음부터는 수면내시경 해야되켜 이생각이 들어도","아휴 다음부터는 수면내시경 해야되켜 이생각이 들어도"
"426","뭐 또같이 같이강 해줄사람 어신디 혼자해야","뭐 또같이 같이가서 해줄사람 없는데 혼자해야"
"427","난 수면내시경 하당 사고 날뻔핸","난 수면내시경 하다가 사고 날뻔했어"
"428","누가마씨","누가요"
"429","나아는 아이","나아는 아이"
"430","절대 수면내시경 하지말랜","절대 수면내시경 하지말래"
"431","나 요번예 독감예방주사 제주도만 무사 무료로 해그네 접종햇잖아예","나 요번예 독감예방주사 제주도만 왜 무료로 해서 접종했잖아요"
"432","나가 옛날에는 나가 아마","나가 옛날에는 나가 아마"
"433","그 저 뭐 해나난 독감 접종을 안해난예","그 저 뭐 하니까 독감 접종을 안했봤어요"
"434","흔히 독감접종 안해 나신디 올해는 이제 무료로 하고 아이들도 해야 되고 하니까","흔히 독감접종 안해 났는데 올해는 이제 무료로 하고 아이들도 해야 되고 하니까"
"435","다 같이 데려간 했주마씀 나가","다 같이 데려간 했거든요 나가"
"436","게그네 다해신디","그래서 다했는데"
"437","아이들은 멀쩡허여 기고","아이들은 멀쩡해 그리고"
"438","의사가 나한테 맞춰신디 다른사람은 영 위에트레 맞은거 같은데","의사가 나한테 맞춰신디 다른사람은 영 위에트레 맞은거 같은데"
"439","나는 여기 밑에 그냥 여기 하드라고마씨","나는 여기 밑에 그냥 여기 하더라고요"
"440","그냥 했거든예","그냥 했거든요"
"441","원래 한 이삼일 저거합니다 이렇게 얘기 하니까 겅헌줄 알안","원래 한 이삼일 저거합니다 이렇게 얘기 하니까 그런줄 알았어"
"442","밤마다 열이 과랑과랑","밤마다 열이 펄펄"
"443","진짜 이번에","진짜 이번에"
"444","예 밤마다 열이 과랑과랑나난","예 밤마다 열이 펄펄나니까"
"445","며칠 동안?","며칠 동안?"
"446","이 삼 일 겅한덴 해시난","이 삼 일 그런다고 했으니까"
"447","저거 할 모양이여 겅만 생각핸","저거 할 모양이다 그렇게만 생각했어"
"448","너무 그냥 열이 과랑과랑 나고 여기는 아파 죽겠고 막 겅행","너무 그냥 열이 펄펄 나고 여기는 아파 죽겠고 막 그래서"
"449","나도 (())","나도 (())"
"450","삼일째 되는 날은예 도저히 여기가 너무 열이 나고 아파 못 건들크라예","삼일째 되는 날은요 도저히 여기가 너무 열이 나고 아파 못 건들겟어요"
"451","겡 퇴근행 왕 영 옷을","그래서 퇴근하고 와서 이렇게 옷을"
"452","풀러동 영 벗엉 보난예","풀고 이렇게 벗고 보니까요"
"453","이만큼 부어가지고 완전히 시뻘겋게 팔이 다 겅된거아니마씨","이만큼 부어가지고 완전히 시뻘겋게 팔이 다 그렇게 된거아니에요"
"454","어떵해 개그네 다시 병원에 거기 다시 갔지 우리 여기 앞에 삼육오는","어떻게 그래서 다시 병원에 거기 다시 갔지 우리 여기 앞에 삼육오는"
"455","열한시인가 몇시까지 하잖아마씨","열한시인가 몇시까지 하잖아요"
"456","어디서 받안?","어디서 받았어?"
"457","삼육오에서 해서마씨 게난","삼육오에서 했어요 그러니까"
"458","의사가 직접?","의사가 직접?"
"459","어 의사가 게멍 나한테 막 얘기하고 뭐하고 해도 알아수다 하멍","어 의사가 게멍 나한테 막 얘기하고 뭐하고 해도 알아수다 하멍"
"460","또 그거 맞을 때도 나가","또 그거 맞을 때도 나가"
"461","요 며칠 전에 약간 기침 해지는거 같은디 맞아도 될건가마씨","요 며칠 전에 약간 기침 해지는거 같은디 맞아도 될가요"
"462","콧물도 호꼼  납디다해그네","콧물도 조금 나던데요"
"463","콧물이영 영 목이영 영 봥 해라만","콧물이랑 이렇게 목이랑 이렇게 봐서 하던데"
"464","괜찮수다 맞아도 되쿠다 겅해그네 맞았거든예","괜찮아요 맞아도 되겟어요 그래서 맞았거든요"
"465","겅행 맞아신디 겅되난","그래서 맞았는데 그렇게 되니까"
"466","우리 신랑이 아이들 방 다 놀래그네","우리 신랑이 아이들 보고 다 놀래서"
"467","전화 하난 진료한댄행","전화 하니까 진료한다고해서"
"468","간","간"
"469","간호사 보여주난 간호사도","간호사 보여주난 간호사도"
"470","깜짝 놀라멍","깜짝 놀라면서"
"471","그런데 이런 사람도 있기는 해예하멍  겅말하멍","그런데 이런 사람도 있기는 해요하면 그렇게 말하면서"
"472","게난 이것때문에 나가 진료를 받아야 될건지","그러니까 이것때문에 나가 진료를 받아야 될건지"
"473","그냥 며칠 이시믄 이거 더 가라앉을거난 더 기다려야 할 건지","그냥 며칠 있으면 이거 더 가라앉을거니까 더 기다려야 할 건지"
"474","근데 나 이거 방그네 이거 겁나그네","근데 나 이거 봐서 이거 겁나서"
"475","저 뭐냐","저 뭐냐"
"476","달려와수다 겅골으니까","달려왔어요 그렇게 말하니까"
